"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"66","General Government","Queens Community Board #11","Queens Community Board #11",2024,363000,309.5705,363000,FALSE
"67","General Government","Queens Community Board #12","Queens Community Board #12",2024,315000,309.5705,315000,FALSE
"68","General Government","Queens Community Board #13","Queens Community Board #13",2024,252000,309.5705,252000,FALSE
"69","General Government","Queens Community Board #14","Queens Community Board #14",2024,226000,309.5705,226000,FALSE
"70","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2024,198000,309.5705,198000,FALSE
"71","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2024,260000,309.5705,260000,FALSE
"72","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2024,203000,309.5705,203000,FALSE
"73","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2024,277000,309.5705,277000,FALSE
"74","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2024,226000,309.5705,226000,FALSE
"75","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2024,226000,309.5705,226000,FALSE
"76","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2024,274000,309.5705,274000,FALSE
"77","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2024,335000,309.5705,335000,FALSE
"78","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2024,379000,309.5705,379000,FALSE
"79","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2024,368000,309.5705,368000,FALSE
"80","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2024,305000,309.5705,305000,FALSE
"81","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2024,364000,309.5705,364000,FALSE
"82","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2024,324000,309.5705,324000,FALSE
"83","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2024,365000,309.5705,365000,FALSE
"84","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2024,102000,309.5705,102000,FALSE
"85","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2024,87000,309.5705,87000,FALSE
"86","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2024,369000,309.5705,369000,FALSE
"87","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2024,261000,309.5705,261000,FALSE
"88","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2024,256000,309.5705,256000,FALSE
"89","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2024,273000,309.5705,273000,FALSE
"90","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2024,365000,309.5705,365000,FALSE
"91","General Government","Department of Small Business Services","Department of Small Business Services",2024,246856000,309.5705,246856000,TRUE
"92","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2024,67260000,309.5705,67260000,FALSE
"93","General Government","Business Integrity Commission","Business Integrity Commission",2024,7383000,309.5705,7383000,FALSE
"94","General Government","Department of Finance","Department of Finance",2024,334911000,309.5705,334911000,FALSE
"95","General Government","Department of Design and Construction","Department of Design and Construction",2024,17800000,309.5705,17800000,FALSE
"96","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2024,882950000,309.5705,882950000,FALSE
"97","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2024,766494000,309.5705,766494000,FALSE
"98","General Government","Department of Records and Information Services","Department of Records and Information Services",2024,13369000,309.5705,13369000,FALSE
"99","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2024,64274000,309.5705,64274000,FALSE
"100","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2024,NA,309.5705,NA,FALSE
"101","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2024,174275000,309.5705,174275000,FALSE
"102","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2024,25872000,309.5705,25872000,FALSE
"103","Public Safety and Judicial","Police Department","Police Department",2024,6317939000,309.5705,6317939000,FALSE
"104","Public Safety and Judicial","Fire Department","Fire Department",2024,2711353000,309.5705,2711353000,FALSE
"105","Public Safety and Judicial","Department of Correction","Department of Correction",2024,1268202000,309.5705,1268202000,FALSE
"106","Public Safety and Judicial","Board of Correction","Board of Correction",2024,3002000,309.5705,3002000,FALSE
"107","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2024,NA,309.5705,NA,FALSE
"108","Public Safety and Judicial","Office of Criminal Justice","Office of Criminal Justice",2024,15183000,309.5705,15183000,FALSE
"109","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2024,54441000,309.5705,54441000,FALSE
"110","Public Safety and Judicial","Department of Probation","Department of Probation",2024,94553000,309.5705,94553000,FALSE
"111","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2024,189598000,309.5705,189598000,FALSE
"112","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2024,122707000,309.5705,122707000,FALSE
"113","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2024,162833000,309.5705,162833000,FALSE
"114","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2024,113115000,309.5705,113115000,FALSE
"115","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2024,30009000,309.5705,30009000,FALSE
"116","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2024,30147000,309.5705,30147000,FALSE
"117","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2024,1132000,309.5705,1132000,FALSE
"118","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2024,715000,309.5705,715000,FALSE
"119","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2024,910000,309.5705,910000,FALSE
"120","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2024,633000,309.5705,633000,FALSE
"121","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2024,658000,309.5705,658000,FALSE
"122","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2024,592492000,309.5705,592492000,FALSE
"123","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2024,337594000,309.5705,337594000,FALSE
"124","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2024,108558000,309.5705,108558000,FALSE
"125","Education","Department of Education","Department of Education",2024,32865967000,309.5705,32865967000,FALSE
"126","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2024,1105711000,309.5705,1105711000,FALSE
"127","City University","Hunter Campus Schools","Hunter Campus Schools",2024,23228000,309.5705,23228000,FALSE
"128","City University","Educational Aid","Educational Aid",2024,NA,309.5705,NA,FALSE
"129","Social Services","Administration for Children's Services","Administration for Children's Services",2024,3339249000,309.5705,3339249000,TRUE
"130","Social Services","Department of Social Services","Department of Social Services",2024,12226521000,309.5705,12226521000,TRUE
"131","Social Services","Department of Homeless Services","Department of Homeless Services",2024,3773904000,309.5705,3773904000,TRUE
"132","Social Services","Department for the Aging","Department for the Aging",2024,482545000,309.5705,482545000,TRUE
"133","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2024,1509024000,309.5705,1509024000,FALSE
"134","Environmental Protection","Department of Sanitation","Department of Sanitation",2024,1959491000,309.5705,1959491000,FALSE
"135","Transportation Services","Department of Transportation","Department of Transportation",2024,1128221000,309.5705,1128221000,FALSE
"136","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2024,1457904000,309.5705,1457904000,FALSE
"137","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2024,4646000,309.5705,4646000,FALSE
"138","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2024,221568000,309.5705,221568000,FALSE
"139","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2024,551054000,309.5705,551054000,FALSE
"140","Housing","Housing Preservation and Development","Housing Preservation and Development",2024,1837007000,309.5705,1837007000,TRUE
"141","Housing","Department of Buildings","Department of Buildings",2024,188033000,309.5705,188033000,FALSE
"142","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2024,1095000,309.5705,1095000,TRUE
"143","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2024,2246154000,309.5705,2246154000,TRUE
"144","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2024,2921691000,309.5705,2921691000,FALSE
"145","Libraries","New York Research Libraries","New York Research Libraries",2024,32465000,309.5705,32465000,FALSE
"146","Libraries","New York Public Library","New York Public Library",2024,166820000,309.5705,166820000,FALSE
