"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"53","General Government","Bronx Community Board #12","Bronx Community Board #12",2023,280000,299.6855,289236.149229776,FALSE
"54","General Government","Queens Community Board #1","Queens Community Board #1",2023,302000,299.6855,311961.846669258,FALSE
"55","General Government","Queens Community Board #2","Queens Community Board #2",2023,339000,299.6855,350182.337817479,FALSE
"56","General Government","Queens Community Board #3","Queens Community Board #3",2023,345000,299.6855,356380.255300974,FALSE
"57","General Government","Queens Community Board #4","Queens Community Board #4",2023,317000,299.6855,327456.640377996,FALSE
"58","General Government","Queens Community Board #5","Queens Community Board #5",2023,312000,299.6855,322291.70914175,FALSE
"59","General Government","Queens Community Board #6","Queens Community Board #6",2023,338000,299.6855,349149.35157023,FALSE
"60","General Government","Queens Community Board #7","Queens Community Board #7",2023,339000,299.6855,350182.337817479,FALSE
"61","General Government","Queens Community Board #8","Queens Community Board #8",2023,347000,299.6855,358446.227795472,FALSE
"62","General Government","Queens Community Board #9","Queens Community Board #9",2023,228000,299.6855,235520.864372818,FALSE
"63","General Government","Queens Community Board #10","Queens Community Board #10",2023,233000,299.6855,240685.795609063,FALSE
"64","General Government","Queens Community Board #11","Queens Community Board #11",2023,349000,299.6855,360512.200289971,FALSE
"65","General Government","Queens Community Board #12","Queens Community Board #12",2023,303000,299.6855,312994.832916508,FALSE
"66","General Government","Queens Community Board #13","Queens Community Board #13",2023,232000,299.6855,239652.809361814,FALSE
"67","General Government","Queens Community Board #14","Queens Community Board #14",2023,289000,299.6855,298533.025455019,FALSE
"68","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2023,338000,299.6855,349149.35157023,FALSE
"69","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2023,179000,299.6855,184904.538257607,FALSE
"70","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2023,267000,299.6855,275807.328015536,FALSE
"71","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2023,276000,299.6855,285104.204240779,FALSE
"72","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2023,206000,299.6855,212795.166933335,FALSE
"73","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2023,212000,299.6855,218993.08441683,FALSE
"74","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2023,275000,299.6855,284071.21799353,FALSE
"75","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2023,324000,299.6855,334687.544108741,FALSE
"76","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2023,355000,299.6855,366710.117773466,FALSE
"77","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2023,360000,299.6855,371875.049009712,FALSE
"78","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2023,295000,299.6855,304730.942938514,FALSE
"79","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2023,336000,299.6855,347083.379075731,FALSE
"80","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2023,286000,299.6855,295434.066713271,FALSE
"81","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2023,348000,299.6855,359479.214042721,FALSE
"82","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2023,160000,299.6855,165277.799559872,FALSE
"83","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2023,288000,299.6855,297500.03920777,FALSE
"84","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2023,367000,299.6855,379105.952740456,FALSE
"85","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2023,229000,299.6855,236553.850620067,FALSE
"86","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2023,289000,299.6855,298533.025455019,FALSE
"87","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2023,274000,299.6855,283038.231746281,FALSE
"88","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2023,356000,299.6855,367743.104020715,FALSE
"89","General Government","Department of Small Business Services","Department of Small Business Services",2023,344390000,299.6855,355750133.690152,TRUE
"90","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2023,55676000,299.6855,57512542.3018464,FALSE
"91","General Government","Business Integrity Commission","Business Integrity Commission",2023,8977000,299.6855,9273117.54155606,FALSE
"92","General Government","Department of Finance","Department of Finance",2023,329921000,299.6855,340803855.678703,FALSE
"93","General Government","Department of Design and Construction","Department of Design and Construction",2023,65887000,299.6855,68060364.872508,FALSE
"94","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2023,640713000,299.6855,661847717.433776,FALSE
"95","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2023,679624000,299.6855,702042245.30049,FALSE
