"","expenditure_category","subcategory","agency","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"441","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2021,1068042000,263.1505,1256447660.11085,FALSE
"442","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2021,13000,263.1505,15293.2371399636,FALSE
"443","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2021,179941000,263.1505,211683106.477092,FALSE
"444","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2021,438564000,263.1505,515927942.542385,FALSE
"445","Housing","Housing Preservation and Development","Housing Preservation and Development",2021,1100468000,263.1505,1294593699.14935,TRUE
"446","Housing","Department of Buildings","Department of Buildings",2021,196242000,263.1505,230859649.447749,FALSE
"447","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2021,1264000,263.1505,1486973.21114723,TRUE
"448","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2021,2152380000,263.1505,2532065981.17807,TRUE
"449","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2021,2401543000,263.1505,2825182046.2169,FALSE
"450","Libraries","New York Research Libraries","New York Research Libraries",2021,30691000,263.1505,36104980.0817403,FALSE
"451","Libraries","New York Public Library","New York Public Library",2021,154592000,263.1505,181862470.45702,FALSE
"452","Libraries","Brooklyn Public Library","Brooklyn Public Library",2021,116669000,263.1505,137249744.914032,FALSE
"453","Libraries","Queens Borough Public Library","Queens Borough Public Library",2021,121518000,263.1505,142954122.367239,FALSE
"454","Pensions","Pension Contributions","Pension Contributions",2021,9333663000,263.1505,10980147818.7311,FALSE
"455","Judgments and Claims","Judgments and Claims","Judgments and Claims",2021,617866000,263.1505,726859327.593905,FALSE
"456","Benefit Payments","Benefit Payments","Benefit Payments",2021,6846447000,263.1505,8054179810.55328,FALSE
"457","Lease Payments","Lease Payments","Lease Payments",2021,97051000,263.1505,114171073.66697,FALSE
"458","Other","Miscellaneous","Miscellaneous",2021,1847131000,263.1505,2172970185.50601,FALSE
"459","Transfers","General Debt Service Fund","Debt Service",2021,5137881000,263.1505,6044217886.91642,FALSE
"460","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2021,NA,263.1505,NA,FALSE
"461","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2021,800785000,263.1505,942045761.778906,FALSE
"462","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2021,2958217000,263.1505,3480054930.19014,FALSE
"463","General Government","Mayoralty","Mayoralty",2020,147448000,257.23,177450627.096373,FALSE
"464","General Government","Board of Elections","Board of Elections",2020,222053000,257.23,267236205.975197,FALSE
"465","General Government","Campaign Finance Board","Campaign Finance Board",2020,20050000,257.23,24129761.4974925,FALSE
"466","General Government","Office of the Actuary","Office of the Actuary",2020,6884000,257.23,8284752.0273685,FALSE
"467","General Government","Borough President-Manhattan","Borough President-Manhattan",2020,4847000,257.23,5833264.53757338,FALSE
"468","General Government","Borough President-Bronx","Borough President-Bronx",2020,5154000,257.23,6202732.70613848,FALSE
"469","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2020,6633000,257.23,7982678.70388368,FALSE
"470","General Government","Borough President-Queens","Borough President-Queens",2020,5687000,257.23,6844187.21377755,FALSE
"471","General Government","Borough President-Staten Island","Borough President-Staten Island",2020,4465000,257.23,5373535.41577576,FALSE
"472","General Government","Office of the Comptroller","Office of the Comptroller",2020,88779000,257.23,106843695.560393,FALSE
"473","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2020,5456000,257.23,6566183.47782141,FALSE
"474","General Government","Law Department","Law Department",2020,263806000,257.23,317485080.379427,FALSE
"475","General Government","Department of City Planning","Department of City Planning",2020,42820000,257.23,51532986.8988843,FALSE
"476","General Government","Department of Investigation","Department of Investigation",2020,47103000,257.23,56687489.0681491,FALSE
"477","General Government","Department of Veterans Service","Department of Veterans Service",2020,4975000,257.23,5987309.89775687,FALSE
"478","General Government","Public Advocate","Public Advocate",2020,4341000,257.23,5224303.97309801,FALSE
"479","General Government","City Council","City Council",2020,80141000,257.23,96448040.7067605,FALSE
"480","General Government","City Clerk","City Clerk",2020,5507000,257.23,6627560.92601952,FALSE
"481","General Government","Financial Information Services Agency","Financial Information Services Agency",2020,108160000,257.23,130168329.355052,FALSE
"482","General Government","Office of Payroll Administration","Office of Payroll Administration",2020,15364000,257.23,18490257.1395249,FALSE
"483","General Government","Independent Budget Office","Independent Budget Office",2020,4556000,257.23,5483052.03903122,FALSE
"484","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2020,1132000,257.23,1362338.65412277,FALSE
"485","General Government","Civil Service Commission","Civil Service Commission",2020,958000,257.23,1152933.24262333,FALSE
"486","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2020,6443000,257.23,7754017.62236131,FALSE
"487","General Government","Districting Commission","Districting Commission",2020,NA,257.23,NA,FALSE
"488","General Government","Commission on Human Rights","Commission on Human Rights",2020,12152000,257.23,14624681.3824204,TRUE
"489","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2020,783649000,257.23,943105409.862769,TRUE
"490","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2020,2531000,257.23,3046006.3017533,FALSE
"491","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2020,2248000,257.23,2705421.6382226,FALSE
"492","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2020,304000,257.23,365857.730435797,FALSE
"493","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2020,338000,257.23,406776.029234537,FALSE
"494","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2020,418000,257.23,503054.379349221,FALSE
"495","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2020,386000,257.23,464543.039303347,FALSE
"496","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2020,332000,257.23,399555.152975936,FALSE
"497","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2020,455000,257.23,547583.116277262,FALSE
"498","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2020,335000,257.23,403165.591105237,FALSE
"499","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2020,386000,257.23,464543.039303347,FALSE
"500","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2020,309000,257.23,371875.127317965,FALSE
"501","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2020,355000,257.23,427235.178633907,FALSE
"502","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2020,3e+05,257.23,361043.812930063,FALSE
"503","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2020,407000,257.23,489816.106208452,FALSE
"504","General Government","Bronx Community Board #1","Bronx Community Board #1",2020,356000,257.23,428438.658010341,FALSE
"505","General Government","Bronx Community Board #2","Bronx Community Board #2",2020,270000,257.23,324939.431637056,FALSE
"506","General Government","Bronx Community Board #3","Bronx Community Board #3",2020,337000,257.23,405572.549858104,FALSE
"507","General Government","Bronx Community Board #4","Bronx Community Board #4",2020,283000,257.23,340584.663530692,FALSE
"508","General Government","Bronx Community Board #5","Bronx Community Board #5",2020,192000,257.23,231068.04027524,FALSE
"509","General Government","Bronx Community Board #6","Bronx Community Board #6",2020,253000,257.23,304480.282237686,FALSE
"510","General Government","Bronx Community Board #7","Bronx Community Board #7",2020,334000,257.23,401962.111728803,FALSE
"511","General Government","Bronx Community Board #8","Bronx Community Board #8",2020,287000,257.23,345398.581036427,FALSE
"512","General Government","Bronx Community Board #9","Bronx Community Board #9",2020,386000,257.23,464543.039303347,FALSE
"513","General Government","Bronx Community Board #10","Bronx Community Board #10",2020,312000,257.23,375485.565447265,FALSE
"514","General Government","Bronx Community Board #11","Bronx Community Board #11",2020,339000,257.23,407979.508610971,FALSE
"515","General Government","Bronx Community Board #12","Bronx Community Board #12",2020,296000,257.23,356229.895424328,FALSE
"516","General Government","Queens Community Board #1","Queens Community Board #1",2020,266000,257.23,320125.514131322,FALSE
"517","General Government","Queens Community Board #2","Queens Community Board #2",2020,354000,257.23,426031.699257474,FALSE
"518","General Government","Queens Community Board #3","Queens Community Board #3",2020,332000,257.23,399555.152975936,FALSE
"519","General Government","Queens Community Board #4","Queens Community Board #4",2020,332000,257.23,399555.152975936,FALSE
"520","General Government","Queens Community Board #5","Queens Community Board #5",2020,313000,257.23,376689.044823699,FALSE
"521","General Government","Queens Community Board #6","Queens Community Board #6",2020,324000,257.23,389927.317964468,FALSE
"522","General Government","Queens Community Board #7","Queens Community Board #7",2020,351000,257.23,422421.261128173,FALSE
"523","General Government","Queens Community Board #8","Queens Community Board #8",2020,343000,257.23,412793.426116705,FALSE
"524","General Government","Queens Community Board #9","Queens Community Board #9",2020,229000,257.23,275596.777203281,FALSE
"525","General Government","Queens Community Board #10","Queens Community Board #10",2020,306000,257.23,368264.689188664,FALSE
"526","General Government","Queens Community Board #11","Queens Community Board #11",2020,332000,257.23,399555.152975936,FALSE
"527","General Government","Queens Community Board #12","Queens Community Board #12",2020,331000,257.23,398351.673599502,FALSE
"528","General Government","Queens Community Board #13","Queens Community Board #13",2020,331000,257.23,398351.673599502,FALSE
"529","General Government","Queens Community Board #14","Queens Community Board #14",2020,301000,257.23,362247.292306496,FALSE
"530","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2020,351000,257.23,422421.261128173,FALSE
"531","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2020,292000,257.23,351415.977918594,FALSE
"532","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2020,298000,257.23,358636.854177196,FALSE
"533","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2020,311000,257.23,374282.086070832,FALSE
"534","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2020,256000,257.23,308090.720366987,FALSE
"535","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2020,256000,257.23,308090.720366987,FALSE
"536","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2020,285000,257.23,342991.622283559,FALSE
"537","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2020,297000,257.23,357433.374800762,FALSE
"538","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2020,267000,257.23,321328.993507756,FALSE
"539","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2020,362000,257.23,435659.534268942,FALSE
"540","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2020,271000,257.23,326142.91101349,FALSE
"541","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2020,374000,257.23,450101.286786145,FALSE
"542","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2020,310000,257.23,373078.606694398,FALSE
"543","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2020,366000,257.23,440473.451774676,FALSE
"544","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2020,187000,257.23,225050.643393072,FALSE
"545","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2020,242000,257.23,291242.009096917,FALSE
"546","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2020,331000,257.23,398351.673599502,FALSE
"547","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2020,256000,257.23,308090.720366987,FALSE
"548","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2020,306000,257.23,368264.689188664,FALSE
"549","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2020,197000,257.23,237085.437157408,FALSE
"550","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2020,329000,257.23,395944.714846635,FALSE
"551","General Government","Department of Small Business Services","Department of Small Business Services",2020,330634000,257.23,397911200.147728,TRUE
"552","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2020,44679000,257.23,53770255.0596742,FALSE
"553","General Government","Business Integrity Commission","Business Integrity Commission",2020,8809000,257.23,10601449.8270031,FALSE
"554","General Government","Department of Finance","Department of Finance",2020,304173000,257.23,366065932.36792,FALSE
"555","General Government","Department of Design and Construction","Department of Design and Construction",2020,213767000,257.23,257264175.862069,FALSE
"556","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2020,1090319000,257.23,1312176430.23364,FALSE
"557","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2020,578226000,257.23,695883065.917661,FALSE
"558","General Government","Department of Records and Information Services","Department of Records and Information Services",2020,9487000,257.23,11417408.844225,FALSE
"559","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2020,39579000,257.23,47632510.2398632,FALSE
"560","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2020,NA,257.23,NA,FALSE
"561","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2020,256762000,257.23,309007771.651829,FALSE
"562","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2020,19628000,257.23,23621893.2006376,FALSE
"563","Public Safety and Judicial","Police Department","Police Department",2020,5785046000,257.23,6962183552.71936,FALSE
"564","Public Safety and Judicial","Fire Department","Fire Department",2020,2169812000,257.23,2611323992.73802,FALSE
"565","Public Safety and Judicial","Department of Correction","Department of Correction",2020,1278907000,257.23,1539138198.87649,FALSE
"566","Public Safety and Judicial","Board of Correction","Board of Correction",2020,2557000,257.23,3077296.76554057,FALSE
"567","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2020,NA,257.23,NA,FALSE
"568","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2020,52913000,257.23,63679704.245228,FALSE
"569","Public Safety and Judicial","Department of Probation","Department of Probation",2020,100093000,257.23,120459861.225363,FALSE
"570","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2020,139888000,257.23,168352323.010535,FALSE
"571","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2020,85222000,257.23,102562919.418419,FALSE
"572","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2020,117091000,257.23,140916603.66598,FALSE
"573","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2020,72812000,257.23,87627740.3568791,FALSE
"574","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2020,18198000,257.23,21900917.6923376,FALSE
"575","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2020,23524000,257.23,28310648.8512226,FALSE
"576","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2020,1199000,257.23,1442971.77234382,FALSE
"577","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2020,686000,257.23,825586.85223341,FALSE
"578","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2020,849000,257.23,1021753.99059208,FALSE
"579","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2020,591000,257.23,711256.311472223,FALSE
"580","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2020,570000,257.23,685983.244567119,FALSE
"581","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2020,381821000,257.23,459513698.989231,FALSE
"582","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2020,217841000,257.23,262167150.841659,FALSE
"583","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2020,64895000,257.23,78099794.1336547,FALSE
"584","Education","Department of Education","Department of Education",2020,27903295000,257.23,33581040067.0412,FALSE
"585","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2020,1094249000,257.23,1316906104.18303,FALSE
"586","City University","Hunter Campus Schools","Hunter Campus Schools",2020,22274000,257.23,26806299.6306807,FALSE
"587","City University","Educational Aid","Educational Aid",2020,NA,257.23,NA,FALSE
"588","Social Services","Administration for Children's Services","Administration for Children's Services",2020,2448716000,257.23,2946979204.74284,TRUE
"589","Social Services","Department of Social Services","Department of Social Services",2020,10408734000,257.23,12526696703.7826,TRUE
"590","Social Services","Department of Homeless Services","Department of Homeless Services",2020,2352590000,257.23,2831293546.20379,TRUE
"591","Social Services","Department for the Aging","Department for the Aging",2020,421015000,257.23,506682869.669168,TRUE
"592","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2020,1298507000,257.23,1562726394.65459,FALSE
"593","Environmental Protection","Department of Sanitation","Department of Sanitation",2020,2081062000,257.23,2504515198.07954,FALSE
"594","Transportation Services","Department of Transportation","Department of Transportation",2020,853911000,257.23,1027664277.80974,FALSE
"595","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2020,1077950000,257.23,1297290593.82654,FALSE
"596","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2020,8000,257.23,9627.83501146833,FALSE
"597","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2020,203754000,257.23,245213736.86584,FALSE
"598","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2020,453994000,257.23,546372416.024569,FALSE
"599","Housing","Housing Preservation and Development","Housing Preservation and Development",2020,1102463000,257.23,1326791483.78105,TRUE
"600","Housing","Department of Buildings","Department of Buildings",2020,187494000,257.23,225645162.205031,FALSE
"601","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2020,1318000,257.23,1586185.81813941,TRUE
"602","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2020,1814493000,257.23,2183704904.18303,TRUE
"603","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2020,705441000,257.23,848983694.790654,FALSE
"604","Libraries","New York Research Libraries","New York Research Libraries",2020,31021000,257.23,37333133.7363449,FALSE
"605","Libraries","New York Public Library","New York Public Library",2020,156095000,257.23,187857113.264394,FALSE
"606","Libraries","Brooklyn Public Library","Brooklyn Public Library",2020,117466000,257.23,141367908.432142,FALSE
"607","Libraries","Queens Borough Public Library","Queens Borough Public Library",2020,122602000,257.23,147548978.509505,FALSE
"608","Pensions","Pension Contributions","Pension Contributions",2020,9671638000,257.23,11639616869.3309,FALSE
"609","Judgments and Claims","Judgments and Claims","Judgments and Claims",2020,708970000,257.23,853230773.510088,FALSE
"610","Benefit Payments","Benefit Payments","Benefit Payments",2020,5476722000,257.23,6591121977.45986,FALSE
"611","Lease Payments","Lease Payments","Lease Payments",2020,100582000,257.23,121048362.640439,FALSE
"612","Other","Miscellaneous","Miscellaneous",2020,1700597000,257.23,2046633417.12475,FALSE
"613","Transfers","General Debt Service Fund","Debt Service",2020,3391468000,257.23,4081561793.83431,FALSE
"614","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2020,NA,257.23,NA,FALSE
"615","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2020,796520000,257.23,958595392.916845,FALSE
"616","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2020,3061523000,257.23,3684479790.97695,FALSE
"617","General Government","Mayoralty","Mayoralty",2019,128461000,253.2685,157018343.106229,FALSE
"618","General Government","Board of Elections","Board of Elections",2019,172006000,253.2685,210243553.485728,FALSE
"619","General Government","Campaign Finance Board","Campaign Finance Board",2019,25395000,253.2685,31040399.9905239,FALSE
"620","General Government","Office of the Actuary","Office of the Actuary",2019,6562000,253.2685,8020756.24090639,FALSE
"621","General Government","Borough President-Manhattan","Borough President-Manhattan",2019,5031000,253.2685,6149409.42517526,FALSE
"622","General Government","Borough President-Bronx","Borough President-Bronx",2019,4987000,253.2685,6095628.06665653,FALSE
"623","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2019,6424000,253.2685,7852078.34373402,FALSE
"624","General Government","Borough President-Queens","Borough President-Queens",2019,5467000,253.2685,6682333.79595173,FALSE
"625","General Government","Borough President-Staten Island","Borough President-Staten Island",2019,4342000,253.2685,5307242.24291611,FALSE
"626","General Government","Office of the Comptroller","Office of the Comptroller",2019,90657000,253.2685,110810377.709822,FALSE
"627","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2019,4972000,253.2685,6077293.51261606,FALSE
"628","General Government","Law Department","Law Department",2019,240735000,253.2685,294251257.795581,FALSE
"629","General Government","Department of City Planning","Department of City Planning",2019,40058000,253.2685,48963037.7168894,FALSE
"630","General Government","Department of Investigation","Department of Investigation",2019,43339000,253.2685,52973415.8373426,FALSE
"631","General Government","Department of Veterans Service","Department of Veterans Service",2019,4098000,253.2685,5009000.16385772,FALSE
"632","General Government","Public Advocate","Public Advocate",2019,3022000,253.2685,3693801.48735433,FALSE
"633","General Government","City Council","City Council",2019,78367000,253.2685,95788266.4326594,FALSE
"634","General Government","City Clerk","City Clerk",2019,5577000,253.2685,6816787.19224854,FALSE
"635","General Government","Financial Information Services Agency","Financial Information Services Agency",2019,104004000,253.2685,127124463.895036,FALSE
"636","General Government","Office of Payroll Administration","Office of Payroll Administration",2019,16098000,253.2685,19676643.3962376,FALSE
"637","General Government","Independent Budget Office","Independent Budget Office",2019,4353000,253.2685,5320687.5825458,FALSE
"638","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2019,1145000,253.2685,1399537.62508958,FALSE
"639","General Government","Civil Service Commission","Civil Service Commission",2019,1024000,253.2685,1251638.88916308,FALSE
"640","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2019,6221000,253.2685,7603950.71238626,FALSE
"641","General Government","Districting Commission","Districting Commission",2019,NA,253.2685,NA,FALSE
"642","General Government","Commission on Human Rights","Commission on Human Rights",2019,13254000,253.2685,16200411.9501636,TRUE
"643","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2019,697619000,253.2685,852702217.010801,TRUE
"644","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2019,2679000,253.2685,3274551.35162881,FALSE
"645","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2019,2298000,253.2685,2808853.67900075,FALSE
"646","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2019,288000,253.2685,352023.437577117,FALSE
"647","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2019,333000,253.2685,407027.099698541,FALSE
"648","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2019,420000,253.2685,513367.513133295,FALSE
"649","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2019,422000,253.2685,515812.120338692,FALSE
"650","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2019,387000,253.2685,473031.494244251,FALSE
"651","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2019,407000,253.2685,497477.566298217,FALSE
"652","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2019,377000,253.2685,460808.458217268,FALSE
"653","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2019,445000,253.2685,543925.103200753,FALSE
"654","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2019,323000,253.2685,394804.063671558,FALSE
"655","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2019,282000,253.2685,344689.615960927,FALSE
"656","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2019,302000,253.2685,369135.688014893,FALSE
"657","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2019,394000,253.2685,481587.619463139,FALSE
"658","General Government","Bronx Community Board #1","Bronx Community Board #1",2019,346000,253.2685,422917.04653362,FALSE
"659","General Government","Bronx Community Board #2","Bronx Community Board #2",2019,304000,253.2685,371580.29522029,FALSE
"660","General Government","Bronx Community Board #3","Bronx Community Board #3",2019,329000,253.2685,402137.885287748,FALSE
"661","General Government","Bronx Community Board #4","Bronx Community Board #4",2019,284000,253.2685,347134.223166324,FALSE
"662","General Government","Bronx Community Board #5","Bronx Community Board #5",2019,202000,253.2685,246905.327745061,FALSE
"663","General Government","Bronx Community Board #6","Bronx Community Board #6",2019,260000,253.2685,317798.936701564,FALSE
"664","General Government","Bronx Community Board #7","Bronx Community Board #7",2019,332000,253.2685,405804.796095843,FALSE
"665","General Government","Bronx Community Board #8","Bronx Community Board #8",2019,277000,253.2685,338578.097947435,FALSE
"666","General Government","Bronx Community Board #9","Bronx Community Board #9",2019,318000,253.2685,388692.545658067,FALSE
"667","General Government","Bronx Community Board #10","Bronx Community Board #10",2019,332000,253.2685,405804.796095843,FALSE
"668","General Government","Bronx Community Board #11","Bronx Community Board #11",2019,319000,253.2685,389914.849260765,FALSE
"669","General Government","Bronx Community Board #12","Bronx Community Board #12",2019,292000,253.2685,356912.65198791,FALSE
"670","General Government","Queens Community Board #1","Queens Community Board #1",2019,314000,253.2685,383803.331247273,FALSE
"671","General Government","Queens Community Board #2","Queens Community Board #2",2019,357000,253.2685,436362.386163301,FALSE
"672","General Government","Queens Community Board #3","Queens Community Board #3",2019,334000,253.2685,408249.40330124,FALSE
"673","General Government","Queens Community Board #4","Queens Community Board #4",2019,318000,253.2685,388692.545658067,FALSE
"674","General Government","Queens Community Board #5","Queens Community Board #5",2019,304000,253.2685,371580.29522029,FALSE
"675","General Government","Queens Community Board #6","Queens Community Board #6",2019,315000,253.2685,385025.634849972,FALSE
"676","General Government","Queens Community Board #7","Queens Community Board #7",2019,341000,253.2685,416805.528520128,FALSE
"677","General Government","Queens Community Board #8","Queens Community Board #8",2019,370000,253.2685,452252.332998379,FALSE
"678","General Government","Queens Community Board #9","Queens Community Board #9",2019,221000,253.2685,270129.096196329,FALSE
"679","General Government","Queens Community Board #10","Queens Community Board #10",2019,327000,253.2685,399693.278082351,FALSE
"680","General Government","Queens Community Board #11","Queens Community Board #11",2019,354000,253.2685,432695.475355206,FALSE
"681","General Government","Queens Community Board #12","Queens Community Board #12",2019,318000,253.2685,388692.545658067,FALSE
"682","General Government","Queens Community Board #13","Queens Community Board #13",2019,332000,253.2685,405804.796095843,FALSE
"683","General Government","Queens Community Board #14","Queens Community Board #14",2019,289000,253.2685,353245.741179815,FALSE
"684","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2019,355000,253.2685,433917.778957904,FALSE
"685","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2019,331000,253.2685,404582.492493145,FALSE
"686","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2019,333000,253.2685,407027.099698541,FALSE
"687","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2019,299000,253.2685,365468.777206798,FALSE
"688","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2019,242000,253.2685,295797.471852994,FALSE
"689","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2019,289000,253.2685,353245.741179815,FALSE
"690","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2019,288000,253.2685,352023.437577117,FALSE
"691","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2019,337000,253.2685,411916.314109335,FALSE
"692","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2019,246000,253.2685,300686.686263787,FALSE
"693","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2019,374000,253.2685,457141.547409173,FALSE
"694","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2019,311000,253.2685,380136.420439178,FALSE
"695","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2019,343000,253.2685,419250.135725525,FALSE
"696","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2019,3e+05,253.2685,366691.080809497,FALSE
"697","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2019,361000,253.2685,441251.600574094,FALSE
"698","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2019,204000,253.2685,249349.934950458,FALSE
"699","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2019,247000,253.2685,301908.989866486,FALSE
